Entity,Code,Year,70+ years old (deaths),15-49 years old (deaths),50-69 years old (deaths)
Paraguay,PRY,2005,1300.6613847,303.818476599,1142.91631061
Paraguay,PRY,2006,1344.24739758,309.827656992,1183.46961262
Paraguay,PRY,2010,1525.47677486,318.40901268,1308.22066051
Paraguay,PRY,2016,1705.79219936,298.790900029,1430.43078953
Peru,PER,1990,1974.56846236,930.039098421,1949.84064286
Peru,PER,1995,2695.51630282,1105.12395257,2368.84289585
Peru,PER,2000,2608.88575929,821.607681262,1951.04901679
Peru,PER,2005,2878.36728559,788.348821522,1841.83323151
Peru,PER,2006,2941.34171364,796.935782145,1802.71366238
Peru,PER,2010,3517.50468097,892.533023827,2062.89711158
Peru,PER,2016,3834.45087882,686.637660346,2020.97187623
Philippines,PHL,1990,15212.9896348,9816.91098927,18823.821489
Philippines,PHL,1995,19213.9824894,11271.2812035,24395.4762194
Philippines,PHL,2000,24576.2888812,13506.5334878,31458.8428509
Philippines,PHL,2005,29906.1924091,15494.427436,38645.7581006
Philippines,PHL,2006,30907.3885448,15809.6745103,39896.5894784
Philippines,PHL,2010,36883.1788788,16935.2211111,43967.1054475
Philippines,PHL,2016,40715.4000293,16903.5254842,49564.3412813
Poland,POL,1990,27240.3707046,9381.57807245,45245.4284163
Poland,POL,1995,27582.305248,10285.4189195,41445.5023385
Poland,POL,2000,29624.7026995,8235.79196671,36997.4893209
Poland,POL,2005,30459.8519852,6398.84523547,36092.4743539
Poland,POL,2006,30750.564739,6100.71283671,36809.3770566
Poland,POL,2010,30606.9289898,4331.62382316,37544.4882258
Poland,POL,2016,26399.9513582,3093.9556212,36915.106885
Portugal,PRT,1990,5044.925996,966.613920716,4754.82294146
Portugal,PRT,1995,5555.48860791,1060.44426946,4582.58202795
Portugal,PRT,2000,6027.92186542,1152.61381836,4291.22965601
Portugal,PRT,2005,6674.0491743,1102.8731739,4243.07548441
Portugal,PRT,2006,6627.69249493,1096.97670343,4198.05132149
Portugal,PRT,2010,6713.30407327,949.311168565,4083.81063393
Portugal,PRT,2016,6253.22519083,806.367054157,3810.28625518
Puerto Rico,PRI,1990,1004.86311043,221.889818973,849.740144568
Puerto Rico,PRI,1995,1306.06886199,222.17682678,933.777683549
Puerto Rico,PRI,2000,1287.52162945,199.333050976,884.63789761
Puerto Rico,PRI,2005,1274.80758351,157.910106332,848.444115196
Puerto Rico,PRI,2006,1259.8581815,155.586802586,839.847121035
Puerto Rico,PRI,2010,1291.90453944,123.85188384,772.988189334
Puerto Rico,PRI,2016,1322.10141445,106.921899182,721.338265184
Qatar,QAT,1990,17.4396995629,45.2870432372,39.9160560096
Qatar,QAT,1995,22.9487369473,57.0041275098,48.9508779805
Qatar,QAT,2000,24.9965377666,57.9976209462,59.7239574488
Qatar,QAT,2005,25.4407199885,51.7140848279,73.6061764085
Qatar,QAT,2006,24.5243573018,50.1684893347,72.9735886059
Qatar,QAT,2010,33.0055479254,68.3557884285,82.8440112551
Qatar,QAT,2016,48.6516979961,79.064217635,116.597349394
Romania,ROU,1990,8961.6773496,4350.99720366,20863.784817
Romania,ROU,1995,10713.8377507,6039.678227,23697.4144101
Romania,ROU,2000,11757.5110243,5253.8605437,20191.6088278
Romania,ROU,2005,12864.9091552,4406.38671413,19676.1040454
Romania,ROU,2006,12935.0966996,4129.03778039,19343.6351388
Romania,ROU,2010,14414.1784123,3504.70740458,19817.9646984
Romania,ROU,2016,11845.4543166,3177.23895523,17814.9959431
Russia,RUS,1990,73754.907018,27501.3229995,161070.519858
Russia,RUS,1995,86217.3728547,62237.6616953,223546.289063
Russia,RUS,2000,107210.598252,59918.3297528,192562.141046
Russia,RUS,2005,104223.674685,65043.2715431,202834.749978
Russia,RUS,2006,99322.8387317,56587.4101743,185113.992704
Russia,RUS,2010,101832.378047,41560.9427617,160967.452649
Russia,RUS,2016,80013.4591966,31200.5099324,170857.894509
Rwanda,RWA,1990,294.443512626,493.556096143,900.006525003
Rwanda,RWA,1995,326.224161232,591.468646522,971.056915137
Rwanda,RWA,2000,578.863369717,545.036215869,847.084227107
Rwanda,RWA,2005,444.701149003,316.8456565,533.124003273
Rwanda,RWA,2006,462.575944604,303.646328568,537.432798352
Rwanda,RWA,2010,474.304881105,278.311695041,601.161796476
Rwanda,RWA,2016,523.755492897,344.787659143,792.444914397
Saint Lucia,LCA,1990,20.0089050208,9.30692065015,25.4728985485
Saint Lucia,LCA,1995,18.7475547394,9.63181169553,22.8469343018
Saint Lucia,LCA,2000,17.6930161386,9.37882776575,22.2695802062
Saint Lucia,LCA,2005,20.6923877323,10.4513274053,25.8820250773
Saint Lucia,LCA,2006,20.6656286774,10.4313338935,26.4088706609
Saint Lucia,LCA,2010,19.979930312,11.5947859486,27.9829085507
Saint Lucia,LCA,2016,23.1441501936,11.9056082752,35.6108489433
Saint Vincent and the Grenadines,VCT,1990,15.0078235137,4.85250666934,17.5886446377
Saint Vincent and the Grenadines,VCT,1995,16.7412379521,5.96847279446,18.4557123713
Saint Vincent and the Grenadines,VCT,2000,17.884802993,6.64998515811,19.1702373946
Saint Vincent and the Grenadines,VCT,2005,16.7952942105,7.23415007907,19.180923559
Saint Vincent and the Grenadines,VCT,2006,16.6929380078,7.0650255415,19.1991872649
Saint Vincent and the Grenadines,VCT,2010,16.1093002419,7.18413274738,20.4560223226
Saint Vincent and the Grenadines,VCT,2016,16.9238077417,7.54845229718,28.2043883245
Samoa,WSM,1990,30.8638997176,24.557884595,64.6948885047
Samoa,WSM,1995,37.2477982321,26.9639958867,64.613915712
Samoa,WSM,2000,38.6056986024,29.3323173141,59.9367717747
Samoa,WSM,2005,38.8908945254,29.013763202,59.3318512453
Samoa,WSM,2006,38.7947869379,28.6376068828,59.1162634645
Samoa,WSM,2010,39.6920915238,28.2869143368,63.0605750788
Samoa,WSM,2016,40.2273106834,26.5334240486,71.3887101409
Sao Tome and Principe,STP,1990,20.0688616636,2.52506208595,17.2652190002
Sao Tome and Principe,STP,1995,23.8220798697,2.3709210989,17.2448086572
Sao Tome and Principe,STP,2000,29.5375889136,2.8707992338,18.955524614
Sao Tome and Principe,STP,2005,31.9254393498,3.76620196425,18.2013633859
Sao Tome and Principe,STP,2006,32.3394245905,4.01746232737,17.6664353044
Sao Tome and Principe,STP,2010,31.8360703177,4.51175800453,15.4895247271
Sao Tome and Principe,STP,2016,29.9093803851,5.60266444582,19.6147284984
Saudi Arabia,SAU,1990,612.093152505,332.985387977,622.436274571
Saudi Arabia,SAU,1995,950.371989589,510.422776034,929.845716001
Saudi Arabia,SAU,2000,1339.99922987,655.025346391,1232.72619896
Saudi Arabia,SAU,2005,1564.28564915,828.912205505,1484.8775951
Saudi Arabia,SAU,2006,1590.46450092,860.269584857,1520.2475945
Saudi Arabia,SAU,2010,1692.2351557,960.78420712,1802.5308455
Saudi Arabia,SAU,2016,1652.01211852,1155.836142,2928.12530804
Scotland,,1990,9305.74584453,644.289233447,6795.1400063
Scotland,,1995,9307.64399802,577.311185576,5527.09946895
Scotland,,2000,8816.04509821,475.049412934,4422.10700985
Scotland,,2005,8468.99897437,457.143143335,3946.21773556
Scotland,,2006,8311.47039698,446.664158022,3825.12800694
Scotland,,2010,8038.54713374,395.748668071,3533.56166679
Scotland,,2016,8475.11397053,350.012328244,3556.75609602
Senegal,SEN,1990,391.243508093,495.181072847,1086.44912851
Senegal,SEN,1995,405.869944308,506.158114745,1099.21626242
Senegal,SEN,2000,436.394599491,536.030198341,1094.68080556
Senegal,SEN,2005,558.537253356,592.613885482,1183.44280108
Senegal,SEN,2006,594.549596066,608.110443292,1210.39290768
Senegal,SEN,2010,729.609186925,653.004140187,1263.17370201
Senegal,SEN,2016,1006.30192808,780.740517556,1431.24827572
Serbia,SRB,1990,3992.67161774,1505.36821146,8743.57127772
Serbia,SRB,1995,5404.64096684,1971.95335657,10479.9531788
Serbia,SRB,2000,7185.73770476,1968.05281752,10473.7011034
Serbia,SRB,2005,8376.77928012,1568.71353282,9975.0987195
Serbia,SRB,2006,8323.42282609,1480.72537302,9768.28811303
Serbia,SRB,2010,8351.83719772,1293.65503918,9488.14197914
Serbia,SRB,2016,7115.76839798,1248.06540066,9066.80108499
Seychelles,SYC,1990,25.4780574279,9.67849134476,31.5847645637
Seychelles,SYC,1995,28.7726374492,13.9430289199,33.3399867589
Seychelles,SYC,2000,31.1359931767,14.7612615988,28.0335895687
Seychelles,SYC,2005,31.6981448859,14.0714832302,26.9988063417
Seychelles,SYC,2006,30.6794330901,13.3306677591,27.3103995729
Seychelles,SYC,2010,28.813236928,11.9370396516,30.4015037417
Seychelles,SYC,2016,28.8986365769,11.1300808737,35.0554048341
Sierra Leone,SLE,1990,407.110590913,453.132225194,954.625388302
