Entity,Code,Year,70+ years old (deaths),5-14 years old (deaths),15-49 years old (deaths),50-69 years old (deaths),Under-5s (deaths)
Malawi,MWI,2016,137.142802768,9.7055862857,38.3063070832,95.0069152833,146.926378555
Malaysia,MYS,1990,847.913735789,23.1515217391,195.444253728,714.998369898,148.345456887
Malaysia,MYS,1995,982.637233419,20.6989658126,220.242949593,792.123011142,116.650581081
Malaysia,MYS,2000,1128.58315713,18.8044238471,245.232410199,934.032877901,69.5954584542
Malaysia,MYS,2005,1404.94196932,17.9245287622,285.326965716,1108.22701629,54.7325805057
Malaysia,MYS,2006,1450.97737801,17.148491566,289.48658226,1128.14771133,50.8313924783
Malaysia,MYS,2010,1607.398133,15.9777082065,292.062587735,1225.54506853,53.9730529508
Malaysia,MYS,2016,1775.41907649,11.16345651,272.084010695,1390.31477745,32.6477353703
Maldives,MDV,1990,7.73913338959,0.464984657247,4.11094414842,11.3409927087,12.7561563399
Maldives,MDV,1995,9.86888797804,0.401736798494,3.20458464904,12.5790525121,6.18965026284
Maldives,MDV,2000,12.1629413397,0.319856149571,2.70529437781,12.5349870554,2.41879051758
Maldives,MDV,2005,14.2678650721,0.201224026074,2.22209553679,9.88344906956,1.09038911701
Maldives,MDV,2006,14.6667428748,0.175294007605,2.12642568914,9.3173499631,0.993868052611
Maldives,MDV,2010,17.6980667614,0.118350001787,1.84286929089,7.95428796187,0.721016253536
Maldives,MDV,2016,19.2155450228,0.0732461705076,2.00291361404,8.40816870572,0.315627600934
Mali,MLI,1990,168.148819198,11.8249325059,63.5636314958,177.981774543,381.257626426
Mali,MLI,1995,197.772498539,13.1783358441,70.8267360552,187.970905809,378.345657589
Mali,MLI,2000,204.716367082,12.7096473937,77.9272145573,185.518110283,318.528054026
Mali,MLI,2005,173.76308257,12.5531712272,76.1523267908,160.752807272,269.161826698
Mali,MLI,2006,173.939237383,13.283706585,78.2027717771,164.083659814,272.999532929
Mali,MLI,2010,190.714357126,15.8235762856,85.6926529477,187.327150328,292.134805562
Mali,MLI,2016,200.17547452,13.8862637933,88.4776266906,187.178148075,222.62267599
Malta,MLT,1990,43.2684205956,0.0859149338232,2.21199521095,17.8277203982,0.650220000065
Malta,MLT,1995,36.8231406725,0.068514109754,2.08508402297,13.6090401359,0.499695659907
Malta,MLT,2000,33.1927713425,0.0635463874475,1.87482155738,12.0230984017,0.299705984185
Malta,MLT,2005,30.3107336158,0.0497026199942,1.46358964078,10.3297973105,0.210481034984
Malta,MLT,2006,30.1540569979,0.0461710590613,1.41402926584,10.3109871001,0.187413581213
Malta,MLT,2010,28.0546368827,0.0345320058049,1.22175367999,10.0093798436,0.1829863137
Malta,MLT,2016,29.4332740807,0.0263162568098,1.05675607931,9.3014414331,0.140562276903
Marshall Islands,MHL,1990,2.5552430432,0.0853619307069,1.23815936729,3.38935155664,1.82434967384
Marshall Islands,MHL,1995,3.08799765535,0.082841772557,1.69914339539,4.22303099542,1.57137916793
Marshall Islands,MHL,2000,3.83850200605,0.0835259376491,2.22703457059,5.25069232566,1.71882011153
Marshall Islands,MHL,2005,4.66836739499,0.0825478385987,2.87737519378,6.52235435524,1.3661147299
Marshall Islands,MHL,2006,4.86586238613,0.0814506227733,3.00996111385,6.82817370289,1.26766094876
Marshall Islands,MHL,2010,5.40258611653,0.0726594249666,3.19436856032,7.52948624529,0.964325185537
Marshall Islands,MHL,2016,6.54160223368,0.065294391334,3.58632480773,8.92008851354,0.650029057492
Mauritania,MRT,1990,57.7532384553,4.93353063422,19.5052114658,63.5379981256,63.9211749853
Mauritania,MRT,1995,74.1837013909,6.03466505301,21.9505500947,74.1998486807,70.7925368937
Mauritania,MRT,2000,88.297100315,8.0555232666,26.0121157946,81.7428921008,97.529991531
Mauritania,MRT,2005,86.9720799619,7.94780997663,25.9378588606,80.686985616,105.25556173
Mauritania,MRT,2006,84.9480297902,7.61221252836,25.1676143971,78.7158306833,100.162723095
Mauritania,MRT,2010,92.0634707157,6.58431874472,24.9551003476,82.50069573,79.1079638664
Mauritania,MRT,2016,101.740837703,5.82894065988,26.6109818959,91.9221192899,55.6928960935
Mauritius,MUS,1990,93.6809806042,0.980535875549,20.4948291707,75.8172244478,6.48667645882
Mauritius,MUS,1995,105.211582133,0.703661355188,22.2539550854,81.4949990911,5.33384819923
Mauritius,MUS,2000,127.668026619,0.50569596575,23.6703797969,86.0566800953,3.47268310423
Mauritius,MUS,2005,141.723624066,0.361720566989,22.2829238072,94.3995966869,2.62979129601
Mauritius,MUS,2006,145.075390646,0.349553430934,21.7646421243,95.3031234697,2.42438550337
Mauritius,MUS,2010,152.447433228,0.292877429208,21.2759050793,102.440282926,1.94288702014
Mauritius,MUS,2016,183.312319282,0.245425996711,17.5677760297,123.131903975,1.650479851
Mexico,MEX,1990,3222.12562627,117.159656068,529.918051901,1984.19290964,2394.61253603
